method,family,operating_point,device,cr,bpppc,mse,mae,psnr,pae,sa,enc_time_s,dec_time_s,throughput_mbs,num_samples_measured
jpeg2000_lossless,lossless,lossless,cpu,2.4336879515570597,6.577463296629965,0.0,0.0,inf,0.0,0.0,0.15415769118677686,0.1261505291417793,5.070230221212937,54
jpeg2000_cr4,lossy,cr=4,cpu,4.000351492647854,3.999648606940273,5.727240235026693,1.8620953505588917,72.51890981369246,12.87037037037037,0.1294672111704768,0.27774514637335584,0.08887931166423692,3.8844549960638526,54
jpeg2000_cr8,lossy,cr=8,cpu,7.999833569990561,2.000041708375042,101.05007596137803,7.805275796629961,60.084206445626066,69.0,0.5251810679028365,0.27472852922424124,0.05596421969433626,4.296994155164738,54
jpeg2000_cr16,lossy,cr=16,cpu,15.999039566815307,1.0000602686019355,883.4084081998667,22.8321761344678,50.68951769366548,289.3333333333333,1.480315707725576,0.2716891908397277,0.036784624266955585,4.606299627057583,54
jpeg2000_cr32,lossy,cr=32,cpu,31.991482716870088,0.5001332582582583,5760.987714328911,58.3108180055055,42.54769282510015,688.1296296296297,3.5315871239208083,0.2645221681644519,0.025477748502183845,4.900138114567265,54
jpeg2000_cr64,lossy,cr=64,cpu,63.92450614792164,0.25029529529529526,25736.852538449904,122.42895199887387,36.04440681139835,1420.6666666666667,6.574698749997941,0.25143516111980985,0.01891434606578615,5.256766063890991,54
jpeg2000_cr100,lossy,cr=100,cpu,99.80945644129321,0.16030551384718053,56409.41428868972,180.89990602581753,32.607854288329996,1614.4444444444443,8.55577896419699,0.24778480282812207,0.01659353249878795,5.378876467182875,54
jpeg2000_cr150,lossy,cr=150,cpu,149.52006142755883,0.10700909242575916,102135.40805774526,241.820209845262,30.029906627399743,2078.740740740741,10.091569155151173,0.240282093209249,0.015073400749652474,5.566433256343497,54
jpeg2000_cr200,lossy,cr=200,cpu,199.14775178908133,0.08034242575909244,145241.19176100582,287.79508698802965,28.49695760842863,2447.6296296296296,11.069925881181739,0.23465501192819188,0.014130028654579763,5.713283081136789,54
jpeg2000_cr300,lossy,cr=300,cpu,297.98098209221627,0.05369473640306969,222601.775606909,356.3166922130465,26.631803015064317,3181.5925925925926,12.238308267810545,0.22750168307511895,0.013387616792762722,5.899425051745639,54
jpeg2000_cr400,lossy,cr=400,cpu,396.3634259913219,0.040367033700367046,290765.9593346209,407.5332469187939,25.469019493725362,3721.0555555555557,12.832196555506643,0.22214878902391152,0.012920009317221466,6.045036408754652,54
jpeg2000_cr512,lossy,cr=512,cpu,506.04038453289917,0.03161807640974309,362832.52675383724,454.49313532282264,24.50971670418936,4360.074074074074,13.13580374231361,0.21997427671319908,0.012935701343748305,6.103390230148222,54
ccsds123_lossless,lossless,lossless,cpu,1.2331334346505314,12.977376751751752,0.0,0.0,inf,0.0,0.0,0.4904921148662214,0.46189645436350946,1.4921029103624424,54
lz4,lossless,lossless,cpu,1.003553723827885,15.943678261594927,0.0,0.0,inf,0.0,0.0,0.0016794793169807505,0.0007070291235491082,615.0164448940661,54
zlib,lossless,level=6,cpu,1.2476599846833591,12.826992200533866,0.0,0.0,inf,0.0,0.0,0.09010228059358066,0.009532840370580001,14.267768760614741,54
klt_dwt_nc28_cr1,near-lossless,"nc=28,jp2cr=1",cpu,4.357628540146457,3.672682891224559,29.137239974349345,3.722217191149485,65.37041695725638,126.92592592592592,0.27156351899519166,0.12107038394444519,0.07336051748306663,7.312002231373151,54
klt_dwt_nc28_cr4,near-lossless,"nc=28,jp2cr=4",cpu,13.846423956416444,1.155533033033033,2207.620030056097,35.5921713640724,46.883485440004904,262.7962962962963,1.1562413940410932,0.2098990680856837,0.03731996248717661,5.751811913856973,54
klt_dwt_nc56_cr1,near-lossless,"nc=56,jp2cr=1",cpu,2.134079025595724,7.498538955622287,5.673688245537206,1.4790012147564227,72.46838348404987,37.148148148148145,0.1235363191020692,0.18270424125647103,0.12289062832240705,4.651846830257889,54
klt_dwt_nc56_cr4,near-lossless,"nc=56,jp2cr=4",cpu,6.939415162888509,2.3056698365031703,2891.176260088213,40.489959464673014,45.76232495050976,297.6666666666667,1.271878650923254,0.33682326827612186,0.05879869905334932,3.6156916833199744,54
hycass_cr004_spatial0x_n1024,lossy,archCR=4.1,gpu,2.055496079395851,7.784009009009013,861.5291519383967,18.936769138930604,50.85331589936719,837.1666666666666,1.198621790013094,0.004202582149042023,0.006527982997121634,135.9761446981533,54
hycass_cr016_spatial0x_n1024,lossy,archCR=15.9,gpu,7.927686642115829,2.0182432432432447,1426.1238060716967,25.420365339297636,48.65819947676472,926.1296296296297,1.4953848517648682,0.003796987097572397,0.006462377668530853,140.0117226072492,54
hycass_cr050_spatial0x_n1024,lossy,archCR=55.5,gpu,27.73916438891054,0.5768018018018024,11377.148543726014,60.266659967258924,40.097583631967424,1871.7592592592594,3.0830033618472323,0.003649437110181208,0.006368006821031924,144.3495515310615,54
hycass_cr101_spatial2x_n128,lossy,archCR=111.0,gpu,55.4566744730679,0.28851351351351395,24136.972042511257,106.77003592133798,36.284668257693156,2316.4814814814813,4.2598677781285055,0.009951371009703036,0.010718170001550956,69.4178700498707,54
hycass_cr444_spatial2x_n128,lossy,archCR=444.0,gpu,221.30841121495345,0.0722972972972973,119901.15882004406,241.8862739562479,29.303413385955054,3940.4444444444443,6.413006243545825,0.009922507115536265,0.01064605583195333,69.74393319767353,54
hycass_cr888_spatial2x_n128,lossy,archCR=888.0,gpu,441.2422360248453,0.036261261261261224,195906.66119976746,317.63477047359845,27.170662165431875,4550.333333333333,8.479901463308238,0.009930747733623893,0.01075844038967733,69.29597017747948,54
